x,y,color,target,time,
-0.0194909,0.00461041,48,5,181108000, 
-0.0194909,0.00461041,48,5,182128000, 
-0.0194909,0.00461041,48,5,183079000, 
-0.0194909,0.00461041,48,5,184106000, 
-0.0194909,0.00461041,48,5,185120000, 
-0.0194909,0.00461041,48,5,186138000, 
-0.0194909,0.00461041,48,5,187120000, 
-0.0194909,0.00461041,48,5,188112000, 
-0.0194909,0.00461041,48,5,189161000, 
-0.0194835,0.0054121,48,5,190111000, 
-0.0194835,0.0054121,48,5,191128000, 
-0.0194835,0.0054121,48,5,192101000, 
-0.0194835,0.0054121,48,5,193099000, 
-0.0194908,0.00622105,48,5,194111000, 
-0.0194908,0.00622105,48,5,195133000, 
-0.0194908,0.00622105,48,5,196111000, 
-0.0194908,0.00622105,48,5,197075000, 
-0.0194908,0.00622105,48,5,198182000, 
-0.0194908,0.00622105,48,5,199112000, 
-0.0194908,0.00622105,48,5,200172000, 
-0.0194908,0.00622105,48,5,201133000, 
-0.021115,0.00622105,48,5,202118000, 
-0.021115,0.00622105,48,5,203084000, 
-0.021115,0.00622105,48,5,204103000, 
-0.021115,0.00622105,48,5,205148000, 
-0.021115,0.00622105,48,5,206080000, 
-0.021115,0.00622105,48,5,207128000, 
-0.021115,0.00622105,48,5,208123000, 
-0.0227392,0.00622104,48,5,209142000, 
-0.0227392,0.00622104,48,5,210181000, 
-0.0227392,0.00622104,48,5,211195000, 
-0.0227392,0.00622104,48,5,212134000, 
-0.0227477,0.00703057,48,5,213150000, 
-0.0243725,0.00703055,48,5,214148000, 
-0.0243725,0.00703055,48,5,215118000, 
-0.0243725,0.00703055,48,5,216148000, 
-0.0259973,0.00703054,48,5,217157000, 
-0.0259973,0.00703054,48,5,218088000, 
-0.0259973,0.00703054,48,5,219170000, 
-0.0259973,0.00703054,48,5,220192000, 
-0.0276324,0.00784067,48,5,221116000, 
-0.0276324,0.00784067,48,5,222135000, 
-0.0292578,0.00784066,48,5,223134000, 
-0.0292578,0.00784066,48,5,224166000, 
-0.0292578,0.00784066,48,5,225177000, 
-0.0308947,0.0086514,48,5,226134000, 
-0.0308947,0.0086514,48,5,227124000, 
-0.0325206,0.00865138,48,5,228189000, 
-0.0325206,0.00865138,48,5,229221000, 
-0.0341594,0.00946273,48,5,230194000, 
-0.0357859,0.00946271,48,5,231242000, 
-0.0357859,0.00946271,48,5,232181000, 
-0.0374264,0.0102746,48,5,233114000, 
-0.0374264,0.0102746,48,5,234105000, 
-0.0390535,0.0102746,48,5,235157000, 
-0.0390681,0.0110872,48,5,236182000, 
-0.0406958,0.0110871,48,5,237120000, 
-0.0423393,0.0119003,48,5,238118000, 
-0.0439676,0.0119002,48,5,239145000, 
-0.0439676,0.0119002,48,5,240137000, 
-0.0456129,0.012714,48,5,241282000, 
-0.0472417,0.0127139,48,5,242185000, 
-0.0488888,0.0135282,48,5,243184000, 
-0.0505181,0.0135282,48,5,244152000, 
-0.052167,0.0143431,48,5,245210000, 
-0.052167,0.0143431,48,5,246241000, 
-0.0538173,0.0135414,48,5,247201000, 
-0.0554685,0.014357,48,5,248206000, 
-0.0570997,0.0143569,48,5,249191000, 
-0.0587527,0.015173,48,5,250242000, 
-0.0603844,0.015173,48,5,251240000, 
-0.0620392,0.0159897,48,5,252255000, 
-0.0636714,0.0159896,48,5,253158000, 
-0.0653279,0.0168069,48,5,254186000, 
-0.0685934,0.0168067,48,5,255146000, 
-0.0702523,0.0176246,48,5,256153000, 
-0.0718856,0.0176246,48,5,257165000, 
-0.0735463,0.018443,48,5,258182000, 
-0.0752081,0.0192621,48,5,259190000, 
-0.0785061,0.0200817,48,5,260155000, 
-0.0801713,0.0192794,48,5,261195000, 
-0.0818373,0.0200997,48,5,262194000, 
-0.0851094,0.0200995,48,5,263223000, 
-0.0867777,0.0209203,48,5,264208000, 
-0.0884471,0.0217417,48,5,265252000, 
-0.0917213,0.0217415,48,5,266203000, 
-0.0934283,0.0217608,48,5,267242000, 
-0.0967407,0.0225833,48,5,268203000, 
-0.0983794,0.0225831,48,5,269206000, 
-0.101695,0.0234061,48,5,270241000, 
-0.105051,0.0234265,48,5,271210000, 
-0.106731,0.0242509,48,5,272187000, 
-0.110013,0.0242505,48,5,273282000, 
-0.113379,0.0242714,48,5,274274000, 
-0.115064,0.025097,48,5,275178000, 
-0.118393,0.0242922,48,5,276241000, 
-0.121724,0.0251181,48,5,277178000, 
-0.125104,0.0251396,48,5,278233000, 
-0.128441,0.0259667,48,5,279186000, 
-0.131731,0.0259663,48,5,280167000, 
-0.135122,0.0259883,48,5,281177000, 
-0.138465,0.0268165,48,5,282162000, 
-0.141863,0.0268391,48,5,283221000, 
-0.145267,0.0268618,48,5,284226000, 
-0.148619,0.0276917,48,5,285260000, 
-0.15203,0.0277149,48,5,286231000, 
-0.155388,0.028546,48,5,287234000, 
-0.158749,0.0277375,48,5,288218000, 
-0.162171,0.0277607,48,5,289218000, 
-0.165537,0.0285929,48,5,290236000, 
-0.170621,0.0286164,48,5,291216000, 
-0.174057,0.0286401,48,5,292248000, 
-0.177432,0.029474,48,5,293304000, 
-0.182533,0.0294979,48,5,294277000, 
-0.185982,0.0295222,48,5,295195000, 
-0.189366,0.0303578,48,5,296245000, 
-0.192824,0.0303827,48,5,297308000, 
-0.197946,0.0304071,48,5,298219000, 
-0.201339,0.0312444,48,5,299229000, 
-0.206471,0.0312694,48,5,300325000, 
-0.209948,0.0312948,48,5,301215000, 
-0.213429,0.0313201,48,5,302265000, 
-0.218579,0.031345,48,5,303839000, 
-0.221988,0.0321852,48,5,304149000, 
-0.221988,0.0321852,48,5,305225000, 
-0.230648,0.0322364,48,5,306207000, 
-0.235818,0.0339212,48,5,307283000, 
-0.239328,0.0339481,48,5,308236000, 
-0.244512,0.0339746,48,5,309219000, 
-0.248032,0.0340016,48,5,310211000, 
-0.253228,0.034028,48,5,311194000, 
-0.258333,0.0348726,48,5,312226000, 
-0.261867,0.0349001,48,5,313232000, 
-0.267176,0.035775,48,5,314244000, 
-0.270621,0.0366224,48,5,315288000, 
-0.275844,0.0366503,48,5,316236000, 
-0.281073,0.0366783,48,5,317263000, 
-0.284632,0.0367069,48,5,318204000, 
-0.289872,0.0367347,48,5,319275000, 
-0.295117,0.0384362,48,5,320221000, 
-0.300369,0.0384651,48,5,321227000, 
-0.303949,0.0384948,48,5,322236000, 
-0.309099,0.0393463,48,5,323223000, 
-0.31448,0.0402306,48,5,324240000, 
-0.319756,0.0402605,48,5,325223000, 
-0.323356,0.0402912,48,5,326224000, 
-0.32864,0.0420025,48,5,327209000, 
-0.333933,0.0420335,48,5,328236000, 
-0.339232,0.0420644,48,5,329240000, 
-0.344661,0.0429547,48,5,330257000, 
-0.349973,0.042986,48,5,331237000, 
-0.355292,0.0430173,48,5,332211000, 
-0.360613,0.0447374,48,5,333256000, 
-0.365943,0.0447697,48,5,334281000, 
-0.371411,0.0456655,48,5,335248000, 
-0.376754,0.0456982,48,5,336244000, 
-0.382103,0.045731,48,5,337194000, 
-0.387596,0.0466294,48,5,338267000, 
-0.392958,0.0466626,48,5,339301000, 
-0.398468,0.0475632,48,5,340226000, 
-0.403987,0.0484655,48,5,341251000, 
-0.409369,0.0484996,48,5,342281000, 
-0.414757,0.0485337,48,5,343262000, 
-0.4203,0.0494386,48,5,344249000, 
-0.425701,0.0494731,48,5,345255000, 
-0.43126,0.0503801,48,5,346271000, 
-0.436673,0.0504151,48,5,347288000, 
-0.444112,0.0504877,48,5,348227000, 
-0.449541,0.0505225,48,5,349247000, 
-0.455135,0.0514332,48,5,350271000, 
-0.460576,0.0514685,48,5,351234000, 
-0.466187,0.0523813,48,5,352265000, 
-0.473518,0.051577,48,5,353250000, 
-0.479147,0.0524913,48,5,354246000, 
-0.484615,0.0525268,48,5,355231000, 
-0.490261,0.0534432,48,5,356306000, 
-0.497805,0.0535185,48,5,357256000, 
-0.503294,0.0535543,48,5,358240000, 
-0.508967,0.0544738,48,5,359269000, 
-0.51618,0.0545084,48,5,360253000, 
-0.522057,0.0545861,48,5,361270000, 
-0.527757,0.0555087,48,5,362295000, 
-0.535186,0.054698,48,5,363220000, 
-0.540904,0.0556221,48,5,364253000, 
-0.54644,0.0556586,48,5,365279000, 
-0.554089,0.0557352,48,5,366271000, 
-0.559639,0.0557714,48,5,367315000, 
-0.565592,0.0558498,48,5,368263000, 
-0.573074,0.0567765,48,5,369253000, 
-0.578643,0.056813,48,5,370265000, 
-0.584628,0.0568923,48,5,371349000, 
-0.591934,0.0569266,48,5,372240000, 
-0.597941,0.0570058,48,5,373264000, 
-0.603744,0.057939,48,5,374256000, 
-0.611072,0.0579734,48,5,375256000, 
-0.61711,0.0580534,48,5,376252000, 
-0.622939,0.0589896,48,5,377239000, 
-0.630512,0.0581675,48,5,378263000, 
-0.636357,0.0591051,48,5,379275000, 
-0.641991,0.0591419,48,5,380308000, 
-0.649811,0.0592202,48,5,381294000, 
-0.655681,0.0601607,48,5,382257000, 
-0.661567,0.0593374,48,5,383309000, 
-0.667453,0.0602794,48,5,384321000, 
-0.675087,0.0594517,48,5,385289000, 
-0.68099,0.0603951,48,5,386257000, 
-0.686899,0.06134,48,5,387219000, 
-0.69456,0.0605104,48,5,388332000, 
-0.700486,0.0614567,48,5,389201000, 
-0.706667,0.0615389,48,5,390211000, 
-0.712368,0.0615758,48,5,391263000, 
-0.720307,0.0616549,48,5,392275000, 
-0.726265,0.0626051,48,5,393210000, 
-0.732487,0.062688,48,5,394284000, 
-0.738213,0.062725,48,5,395341000, 
-0.745934,0.0636751,48,5,396284000, 
-0.751931,0.0628415,48,5,397285000, 
-0.757926,0.063796,48,5,398337000, 
-0.764195,0.0638795,48,5,399231000, 
-0.769948,0.0639166,48,5,400230000, 
-0.777979,0.0639967,48,5,401214000, 
-0.784005,0.0649549,48,5,402296000, 
-0.790313,0.0650391,48,5,403270000, 
-0.796089,0.0650763,48,5,404287000, 
-0.802136,0.0660374,48,5,405262000, 
-0.80847,0.0661224,48,5,406294000, 
-0.816008,0.0661563,48,5,407270000, 
-0.82236,0.0662411,48,5,408268000, 
-0.828162,0.0662782,48,5,409223000, 
-0.834532,0.0663628,48,5,410254000, 
-0.840622,0.0673289,48,5,411271000, 
-0.84673,0.066484,48,5,412287000, 
-0.852834,0.0674516,48,5,413312000, 
-0.858955,0.0666049,48,5,414274000, 
-0.865072,0.0675738,48,5,415289000, 
-0.871206,0.0667255,48,5,416339000, 
-0.879087,0.0676919,48,5,417288000, 
-0.885527,0.0677767,48,5,418284000, 
-0.891378,0.0678133,48,5,419302000, 
-0.897539,0.0669614,48,5,420321000, 
-0.903695,0.0679342,48,5,421328000, 
-0.910167,0.0680186,48,5,422272000, 
-0.916037,0.0680548,48,5,423311000, 
-0.922525,0.0681389,48,5,424285000, 
-0.928404,0.0681749,48,5,425226000, 
-0.934907,0.0682588,48,5,426236000, 
-0.940795,0.0682946,48,5,427288000, 
-0.94876,0.0674318,48,5,428291000, 
-0.954965,0.0684097,48,5,429300000, 
-0.961188,0.0675493,48,5,430347000, 
-0.967731,0.0676316,48,5,431277000, 
-0.973639,0.0676664,48,5,432239000, 
-0.980198,0.0677484,48,5,433323000, 
-0.986114,0.0677831,48,5,434281000, 
-0.992688,0.0678648,48,5,435290000, 
-0.998612,0.0678992,48,5,436296000, 
-1.0052,0.0679808,48,5,437299000, 
-1.01113,0.068015,48,5,438279000, 
-1.01741,0.0671462,48,5,439290000, 
-1.02368,0.0681304,48,5,440258000, 
-1.02996,0.0672598,48,5,441239000, 
-1.03591,0.0672932,48,5,442308000, 
-1.04078,0.0673775,48,5,443322000, 
-1.04742,0.0674572,48,5,444301000, 
-1.05338,0.0674903,48,5,445354000, 
-1.05969,0.0666149,48,5,446291000, 
-1.066,0.0676027,48,5,447303000, 
-1.07232,0.0667256,48,5,448330000, 
-1.07653,0.0667624,48,5,449305000, 
-1.08285,0.0677518,48,5,450270000, 
-1.08919,0.0668724,48,5,451237000, 
-1.09552,0.0678631,48,5,452280000, 
-1.10011,0.0669868,48,5,453333000, 
-1.10609,0.0670185,48,5,454295000, 
-1.1128,0.067096,48,5,455296000, 
